s1	rid
S1-550329996	S2-849565658
S1-173472679	S2-834353592
S1-853308226	S2-924143713
S1-54774479	S2-185148108
S1-244347459	S2-650270939
S1-543759994	S2-963300188
S1-101860051	S2-743951385
S1-789442592	S2-602902836
S1-437422331	S2-233641858
S1-66875557	S2-470247895
S1-908741711	S2-146607525
S1-541987395	S2-336358047
S1-313898850	S2-53431024
S1-10726659	S2-983824538
S1-972058206	S2-336205787
S1-726168324	S2-601243626
S1-386609814	S2-119760832
S1-343012621	S2-252043167
S1-711570846	S2-691463540
S1-675611941	S2-536442318
S1-515129501	S2-505812513
S1-799508259	S2-749949012
S1-425717508	S2-437307977
S1-496658189	S2-971601521
S1-391085024	S2-712343515
S1-198305426	S2-618912706
S1-472338787	S2-687211858
S1-586004017	S2-570140380
S1-767089149	S2-151493351
S1-795502617	S2-902823911
S1-588104402	S2-936401051
S1-369477564	S2-863089527
S1-538163501	S2-832458802
S1-911202654	S2-347330149
S1-328186	S2-751389924
S1-714649889	S2-592335494
S1-165638415	S2-93581811
S1-920374518	S2-69965969
S1-256408866	S2-596461831
S1-44297692	S2-590993253
S1-986971513	S2-944341318
S1-231471443	S2-907395422
S1-942696801	S2-77180081
S1-903521783	S2-735277576
S1-176263907	S2-224632354
S1-341503346	S2-705702448
S1-77451137	S2-69452276
S1-1236282	S2-874451827
S1-8823167	S2-248864759
S1-341585060	S2-113370885
S1-944744784	S2-612014769
S1-587673636	S2-542530776
S1-571474932	S2-756557381
S1-849428966	S2-449231675
S1-643886424	S2-502169508
S1-89742924	S2-65615772
S1-797301626	S2-145582255
S1-948645567	S2-87963492
S1-4889769	S2-463914306
S1-290897224	S2-231050538
S1-749305974	S2-227533280
S1-926151723	S2-98126301
S1-658485227	S2-189179119
S1-629117017	S2-939504093
S1-391012694	S2-443859588
S1-579949465	S2-464283137
S1-673225991	S2-57529012
S1-874710795	S2-900162975
S1-161891977	S2-431631215
S1-756911826	S2-713198548
S1-752951561	S2-221980761
S1-30385180	S2-792060456
S1-132651583	S2-961175859
S1-398530615	S2-879698135
S1-224030363	S2-836478616
S1-305997562	S2-919385363
S1-559697248	S2-32461760
S1-422507376	S2-439786382
S1-739310497	S2-723776927
S1-652839557	S2-819785558
S1-224270372	S2-327707129
S1-270894294	S2-10421156
S1-522652779	S2-397355880
S1-56550941	S2-329319612
S1-997362407	S2-262002021
S1-587783038	S2-298928383
S1-805319803	S2-134516401
S1-482298129	S2-573098903
S1-11176454	S2-655253964
S1-317978416	S2-415621734
S1-348300299	S2-611346583
S1-813137951	S2-161623480
S1-113257861	S2-471006670
S1-590734890	S2-122377884
S1-512082223	S2-207318112
S1-546303370	S2-721152536
S1-513310689	S2-683144310
S1-427377973	S2-59151486
S1-397549985	S2-498831733
S1-907900306	S2-418707888
S1-408253391	S2-665366924
S1-722875748	S2-802742742
S1-866829726	S2-960394867
S1-529726495	S2-50711429
S1-145655191	S2-840052410
S1-74566961	S2-538340635
S1-301532519	S2-141113117
S1-960312771	S2-25413167
S1-124888105	S2-169696992
S1-176404057	S2-416019318
S1-233943442	S2-569755649
S1-850377361	S2-824483035
S1-246097188	S2-812728839
S1-616081123	S2-160961809
S1-418009754	S2-985518154
S1-653606645	S2-125594002
S1-890602415	S2-336278868
S1-334089052	S2-403997604
S1-122132618	S2-692545568
S1-911286468	S2-407711962
S1-531408764	S2-876550689
S1-833953912	S2-606407594
S1-518228661	S2-399437656
S1-534409584	S2-967375215
S1-632808353	S2-599492124
S1-569246754	S2-421976297
S1-988760305	S2-708548922
S1-660223833	S2-130330906
S1-707769029	S2-740507150
S1-254563398	S2-615673730
S1-451715588	S2-895107375
S1-636587139	S2-912003021
S1-534396021	S2-628844398
S1-331400320	S2-449300964
S1-966827743	S2-861983754
S1-670577770	S2-488240465
S1-912576916	S2-570493783
S1-184878952	S2-104795969
S1-134064359	S2-412302177
S1-803322062	S2-194823250
S1-137170622	S2-342140361
S1-406524195	S2-639447201
S1-912093123	S2-133800658
S1-714080321	S2-243810345
S1-785447287	S2-788265765
S1-5877935	S2-117249269
S1-731808790	S2-952182753
S1-822097885	S2-472615209
S1-250565909	S2-309450437
S1-709416337	S2-111314839
S1-988117802	S2-978414679
S1-762716793	S2-735728307
S1-498890599	S2-730532792
S1-108492185	S2-65559916
S1-960139170	S2-411363251
S1-995568607	S2-465360751
S1-626424012	S2-931310127
S1-603650636	S2-756818332
S1-377664851	S2-976125358
S1-959044759	S2-229886513
S1-581277026	S2-308452204
S1-362504734	S2-868104670
S1-64818394	S2-222523449
S1-554443019	S2-666948426
S1-233511631	S2-158743325
S1-676267011	S2-819350622
S1-819895430	S2-778545891
S1-695515972	S2-889409233
S1-279891803	S2-458814892
S1-653249461	S2-916263150
S1-355685172	S2-463135251
S1-529096576	S2-514745028
S1-973844202	S2-816182611
S1-318261999	S2-216573377
S1-761339309	S2-570467205
S1-353595069	S2-980911970
S1-557450204	S2-886714734
S1-108727454	S2-835213096
S1-867792922	S2-717557049
S1-449969479	S2-625640647
S1-46136302	S2-254866994
S1-503109914	S2-83812900
S1-477454525	S2-969659293
S1-907111735	S2-84666592
